,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1691,El Che,Guajira,https://www.todotango.com/musica/tema/6953/El-Che/,True,False,False,False,True
2891,La visita,Guajira,https://www.todotango.com/musica/tema/1122/La-visita/,True,False,False,False,True
