,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1004,Chamamé del verde,Chamamé,https://www.todotango.com/musica/tema/7164/Chamame-del-verde/,True,False,False,False,True
2972,Llámame chamamé,Chamamé,https://www.todotango.com/musica/tema/3037/Llamame-chamame/,True,False,False,False,True
