,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
332,Amor gitano,Pasodoble,https://www.todotango.com/musica/tema/6997/Amor-gitano/,True,False,False,False,True
1220,Coplas y flores,Pasodoble,https://www.todotango.com/musica/tema/6589/Coplas-y-flores/,True,False,False,False,True
1735,El emigrante,Pasodoble,https://www.todotango.com/musica/tema/6872/El-emigrante/,True,True,False,False,True
1967,Embrujo [c],Pasodoble,https://www.todotango.com/musica/tema/2086/Embrujo-[c]/,True,False,False,False,True
4170,Poderoso,Pasodoble,https://www.todotango.com/musica/tema/3429/Poderoso/,True,True,False,False,True
4333,Puñadito de sal,Pasodoble,https://www.todotango.com/musica/tema/1964/Punadito-de-sal/,True,True,False,False,True
4796,Sol de mi tierra,Pasodoble,https://www.todotango.com/musica/tema/7930/Sol-de-mi-tierra/,True,True,False,False,True
5502,Virgen morena,Pasodoble,https://www.todotango.com/musica/tema/6788/Virgen-morena/,True,False,False,False,True
