,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
194,Ajustate las espuelas,Gato,https://www.todotango.com/musica/tema/6395/Ajustate-las-espuelas/,True,True,False,False,True
1882,El sol del veinticinco,Gato,https://www.todotango.com/musica/tema/2251/El-sol-del-veinticinco/,True,True,False,True,True
2082,Esa es mi patria,Gato,https://www.todotango.com/musica/tema/1246/Esa-es-mi-patria/,True,False,False,False,True
2301,Gato con guantes,Gato,https://www.todotango.com/musica/tema/7165/Gato-con-guantes/,True,False,False,False,True
3404,Mi suegra no me quiere,Gato,https://www.todotango.com/musica/tema/4528/Mi-suegra-no-me-quiere/,True,False,False,False,True
4481,Regalito cuyano,Gato,https://www.todotango.com/musica/tema/1019/Regalito-cuyano/,True,False,False,False,True
