,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1000,Chacarera lunfa,Chacarera,https://www.todotango.com/musica/tema/5931/Chacarera-lunfa/,True,False,False,False,True
1001,Chacarerita del norte,Chacarera,https://www.todotango.com/musica/tema/4502/Chacarerita-del-norte/,True,False,False,True,True
1567,Doña Rosario,Chacarera,https://www.todotango.com/musica/tema/1955/Dona-Rosario/,True,False,False,False,True
2230,Flor del campo,Chacarera,https://www.todotango.com/musica/tema/1018/Flor-del-campo/,True,False,False,False,True
2797,La parecida,Chacarera,https://www.todotango.com/musica/tema/6385/La-parecida/,True,False,False,False,True
2811,La picardía,Chacarera,https://www.todotango.com/musica/tema/1956/La-picardia/,True,False,False,False,True
3080,Lucho en el suelo con diamantes,Chacarera,https://www.todotango.com/musica/tema/3030/Lucho-en-el-suelo-con-diamantes/,True,False,False,False,True
4614,Sauce Grande,Chacarera,https://www.todotango.com/musica/tema/5322/Sauce-Grande/,True,False,False,False,True
