,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1254,Cosas del amor,Polca,https://www.todotango.com/musica/tema/3158/Cosas-del-amor/,True,False,False,False,
1942,El viejito del acordeón,Polca,https://www.todotango.com/musica/tema/6174/El-viejito-del-acordeon/,True,False,False,False,
2648,La chica de enfrente,Polca,https://www.todotango.com/musica/tema/814/La-chica-de-enfrente/,True,False,False,False,
3740,No se haga mala sangre,Polca,https://www.todotango.com/musica/tema/7620/No-se-haga-mala-sangre/,True,True,False,False,
