,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
4202,Por entre los caseríos,Milonga,https://www.todotango.com/musica/tema/4787/Por-entre-los-caserios/,True,False,False,False,True
4208,Por fin largué,Milonga,https://www.todotango.com/musica/tema/3533/Por-fin-largue/,True,True,False,False,True
4209,Por h o por b,Milonga,https://www.todotango.com/musica/tema/3607/Por-h-o-por-b/,True,True,False,False,True
4210,Por la costumbre de vivir,Milonga,https://www.todotango.com/musica/tema/6977/Por-la-costumbre-de-vivir/,True,False,False,False,True
4241,Por seguidor y compadre,Milonga,https://www.todotango.com/musica/tema/7927/Por-seguidor-y-compadre/,True,False,False,False,True
4271,Porteñazo,Milonga,https://www.todotango.com/musica/tema/4136/Portenazo/,True,False,False,False,True
4274,Porteñesa rea,Milonga,https://www.todotango.com/musica/tema/6822/Portenesa-rea/,True,False,False,False,True
4276,Porteñita,Milonga,https://www.todotango.com/musica/tema/1756/Portenita/,True,True,False,True,
4291,Preludio para la Cruz del Sur,Milonga,https://www.todotango.com/musica/tema/2322/Preludio-para-la-Cruz-del-Sur/,True,False,False,False,True
4411,Querido Negro Lezcano,Milonga,https://www.todotango.com/musica/tema/9905/Querido-Negro-Lezcano/,True,False,False,False,True
4429,Quiero elegir mi vida,Milonga,https://www.todotango.com/musica/tema/1674/Quiero-elegir-mi-vida/,True,False,False,False,True
4430,Quiero olvidar,Milonga,https://www.todotango.com/musica/tema/6770/Quiero-olvidar/,True,True,False,False,True
4462,Recordando,Milonga,https://www.todotango.com/musica/tema/2831/Recordando/,True,True,False,False,True
4486,Reliquias porteñas,Milonga,https://www.todotango.com/musica/tema/4012/Reliquias-portenas/,True,True,False,False,True
4534,Ropa blanca,Milonga,https://www.todotango.com/musica/tema/566/Ropa-blanca/,True,True,False,False,True
4543,Rosa Morena (Abuelita Dominga),Milonga,https://www.todotango.com/musica/tema/1152/Rosa-Morena-Abuelita-Dominga/,True,True,False,False,True
4585,Salí de perdedor,Milonga,https://www.todotango.com/musica/tema/3458/Sali-de-perdedor/,True,True,False,False,True
4600,San Benito de Palermo,Milonga,https://www.todotango.com/musica/tema/3531/San-Benito-de-Palermo/,True,False,False,False,True
4619,Se da la biaba,Milonga,https://www.todotango.com/musica/tema/9086/Se-da-la-biaba/,True,False,False,False,True
4620,Se dice de mí,Milonga,https://www.todotango.com/musica/tema/1294/Se-dice-de-mi/,True,True,True,True,
4621,Se dio vuelta y para qué,Milonga,https://www.todotango.com/musica/tema/4684/Se-dio-vuelta-y-para-que/,True,False,False,False,True
4636,Se llamaba Juan,Milonga,https://www.todotango.com/musica/tema/6442/Se-llamaba-Juan/,True,False,False,False,True
4657,Secuestro,Milonga,https://www.todotango.com/musica/tema/4618/Secuestro/,True,False,False,False,
4667,Sembrando milonga,Milonga,https://www.todotango.com/musica/tema/6601/Sembrando-milonga/,True,False,False,False,True
4668,Sencilla milonga,Milonga,https://www.todotango.com/musica/tema/7040/Sencilla-milonga/,True,False,False,False,True
4674,Señora justicia,Milonga,https://www.todotango.com/musica/tema/8814/Senora-justicia/,True,False,False,False,True
4677,Señores yo soy del centro,Milonga,https://www.todotango.com/musica/tema/2580/Senores-yo-soy-del-centro/,True,False,False,False,True
4687,Ser hombre,Milonga,https://www.todotango.com/musica/tema/8919/Ser-hombre/,True,False,False,False,True
4700,Severino,Milonga,https://www.todotango.com/musica/tema/7081/Severino/,True,True,False,True,
4708,Si es mujer ponele Rosa,Milonga,https://www.todotango.com/musica/tema/1072/Si-es-mujer-ponele-Rosa/,True,False,False,False,True
4713,Si los quiero con el alma,Milonga,https://www.todotango.com/musica/tema/9909/Si-los-quiero-con-el-alma/,True,False,False,False,True
4732,Siempre la misma milonga,Milonga,https://www.todotango.com/musica/tema/3978/Siempre-la-misma-milonga/,True,False,False,False,True
4741,Siete mujeres,Milonga,https://www.todotango.com/musica/tema/5904/Siete-mujeres/,True,False,False,True,
4743,Siga cantando nomás,Milonga,https://www.todotango.com/musica/tema/6979/Siga-cantando-nomas/,True,False,False,True,
4744,Siga el baile,Milonga,https://www.todotango.com/musica/tema/2347/Siga-el-baile/,True,False,False,False,True
4755,Silueta porteña,Milonga,https://www.todotango.com/musica/tema/1628/Silueta-portena/,True,True,True,True,
4769,Sin güelta,Milonga,https://www.todotango.com/musica/tema/3579/Sin-guelta/,True,False,False,False,True
4786,Sinforosa,Milonga,https://www.todotango.com/musica/tema/2562/Sinforosa/,True,False,False,False,True
4831,Somos hoy,Milonga,https://www.todotango.com/musica/tema/4322/Somos-hoy/,True,False,False,False,True
4849,Soneto a un malevo que no leyó a Bo,Milonga,https://www.todotango.com/musica/tema/1256/Soneto-a-un-malevo-que-no-leyo-a-Borges/,True,False,False,False,True
4873,Soy carrero del cuarenta,Milonga,https://www.todotango.com/musica/tema/6063/Soy-carrero-del-cuarenta/,True,False,False,False,True
4874,Soy como soy,Milonga,https://www.todotango.com/musica/tema/4346/Soy-como-soy/,True,True,False,False,True
4876,Soy del empalme ‘las vías,Milonga,https://www.todotango.com/musica/tema/6971/Soy-del-empalme-%e2%80%98las-vias/,True,False,False,False,True
4889,Soy un porteño,Milonga,https://www.todotango.com/musica/tema/4159/Soy-un-porteno/,True,False,False,False,True
4921,Taconear porteño,Milonga,https://www.todotango.com/musica/tema/4313/Taconear-porteno/,True,True,False,False,True
4972,Tango negro [b],Milonga,https://www.todotango.com/musica/tema/4360/Tango-negro-[b]/,True,True,False,False,True
5001,Taquito militar,Milonga,https://www.todotango.com/musica/tema/1912/Taquito-militar/,True,True,False,True,
5006,Tardecitas estuleras,Milonga,https://www.todotango.com/musica/tema/747/Tardecitas-estuleras/,True,False,False,False,True
5016,"Te dije mamá, te dije!",Milonga,https://www.todotango.com/musica/tema/7155/Te-dije-mama-te-dije/,True,False,False,False,True
5039,Te quiero che,Milonga,https://www.todotango.com/musica/tema/986/Te-quiero-che/,True,False,False,False,True
5057,Tengo un tango,Milonga,https://www.todotango.com/musica/tema/6715/Tengo-un-tango/,True,False,False,True,
5070,Tiempo de Don Sebastián,Milonga,https://www.todotango.com/musica/tema/4320/Tiempo-de-Don-Sebastian/,True,False,False,False,True
5073,Tiempo de percal,Milonga,https://www.todotango.com/musica/tema/6457/Tiempo-de-percal/,True,False,False,False,True
5131,Torcacita enamorada,Milonga,https://www.todotango.com/musica/tema/6858/Torcacita-enamorada/,True,False,False,False,True
5137,Tortazos,Milonga,https://www.todotango.com/musica/tema/1641/Tortazos/,True,False,False,True,
5152,Trapitos,Milonga,https://www.todotango.com/musica/tema/2592/Trapitos/,True,False,False,False,True
5171,Tres puntos,Milonga,https://www.todotango.com/musica/tema/1255/Tres-puntos/,True,False,False,False,True
5179,Tristeza criolla [b],Milonga,https://www.todotango.com/musica/tema/4111/Tristeza-criolla-[b]/,True,True,False,False,True
5254,Un baile a beneficio (La podrida),Milonga,https://www.todotango.com/musica/tema/2071/Un-baile-a-beneficio-La-podrida/,True,False,False,True,
5255,Un bailongo,Milonga,https://www.todotango.com/musica/tema/4905/Un-bailongo/,True,True,False,True,
5287,Un partido al truco,Milonga,https://www.todotango.com/musica/tema/1012/Un-partido-al-truco/,True,False,False,False,True
5319,Una canción en la niebla,Milonga,https://www.todotango.com/musica/tema/537/Una-cancion-en-la-niebla/,True,False,False,False,True
5389,Varón,Milonga,https://www.todotango.com/musica/tema/1769/Varon/,True,False,False,False,True
5404,Venga de donde venga,Milonga,https://www.todotango.com/musica/tema/6500/Venga-de-donde-venga/,True,True,False,False,True
5413,Ventanas,Milonga,https://www.todotango.com/musica/tema/7443/Ventanas/,True,False,False,False,True
5422,Veredón porteño,Milonga,https://www.todotango.com/musica/tema/6491/Veredon-porteno/,True,True,False,False,True
5425,Versos de un payador a la señora Ev,Milonga,https://www.todotango.com/musica/tema/2448/Versos-de-un-payador-a-la-senora-Eva-Peron/,True,False,False,False,True
5426,Versos de un payador al General Jua,Milonga,https://www.todotango.com/musica/tema/2449/Versos-de-un-payador-al-General-Juan-Peron/,True,False,False,False,True
5430,Viajera frecuente,Milonga,https://www.todotango.com/musica/tema/7465/Viajera-frecuente/,True,False,False,False,True
5445,Vieja milonga,Milonga,https://www.todotango.com/musica/tema/6519/Vieja-milonga/,True,True,False,False,True
5448,Vieja postal [b],Milonga,https://www.todotango.com/musica/tema/877/Vieja-postal-[b]/,True,False,False,True,
5451,Viejas violas,Milonga,https://www.todotango.com/musica/tema/7452/Viejas-violas/,True,False,False,False,True
5456,Viejo barrio de Colón,Milonga,https://www.todotango.com/musica/tema/6421/Viejo-barrio-de-Colon/,True,True,False,False,True
5460,Viejo Cabildo,Milonga,https://www.todotango.com/musica/tema/5969/Viejo-Cabildo/,True,True,False,False,True
5463,Viejo cine de barrio,Milonga,https://www.todotango.com/musica/tema/7292/Viejo-cine-de-barrio/,True,False,False,False,True
5539,Volviste milonga,Milonga,https://www.todotango.com/musica/tema/9463/Volviste-milonga/,True,False,False,False,True
5556,Voz de árbol,Milonga,https://www.todotango.com/musica/tema/7476/Voz-de-arbol/,True,False,False,False,True
5592,Y entonces qué más querés,Milonga,https://www.todotango.com/musica/tema/9074/Y-entonces-que-mas-queres/,True,True,False,False,True
5633,Y vo ti queré matá!,Milonga,https://www.todotango.com/musica/tema/7157/Y-vo-ti-quere-mata/,True,False,False,False,True
5635,Y voy cantando al andar,Milonga,https://www.todotango.com/musica/tema/6921/Y-voy-cantando-al-andar/,True,False,False,False,True
5673,Yo me llamo Eloy Peralta,Milonga,https://www.todotango.com/musica/tema/3354/Yo-me-llamo-Eloy-Peralta/,True,False,False,False,True
5674,Yo me llamo Juan te quiero,Milonga,https://www.todotango.com/musica/tema/4568/Yo-me-llamo-Juan-te-quiero/,True,True,False,False,True
5700,Yo soy de Rioja y Caseros,Milonga,https://www.todotango.com/musica/tema/7690/Yo-soy-de-Rioja-y-Caseros/,True,True,False,False,True
5701,Yo soy de San Telmo,Milonga,https://www.todotango.com/musica/tema/4232/Yo-soy-de-San-Telmo/,True,True,False,False,True
5706,Yo soy la milonga,Milonga,https://www.todotango.com/musica/tema/5137/Yo-soy-la-milonga/,True,True,False,False,True
5707,Yo soy Pantaleón Lucero,Milonga,https://www.todotango.com/musica/tema/6763/Yo-soy-Pantaleon-Lucero/,True,False,False,False,True
5735,Zanjones,Milonga,https://www.todotango.com/musica/tema/2480/Zanjones/,True,False,False,False,True
5737,Zapatitos de raso,Milonga,https://www.todotango.com/musica/tema/4422/Zapatitos-de-raso/,True,False,False,False,True
