,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
2401,Hay que seguir andando,Canción ciudadana,https://www.todotango.com/musica/tema/5843/Hay-que-seguir-andando/,True,False,False,False,True
4658,Seda de esperanzas,Canción ciudadana,https://www.todotango.com/musica/tema/3426/Seda-de-esperanzas/,True,False,False,False,True
