,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
138,Adiós a Gardel,Corrido,https://www.todotango.com/musica/tema/2008/Adios-a-Gardel/,True,False,False,False,True
3286,Me quiero casar,Corrido,https://www.todotango.com/musica/tema/9422/Me-quiero-casar/,True,False,False,False,True
3712,No lo creas por favor,Corrido,https://www.todotango.com/musica/tema/1243/No-lo-creas-por-favor/,True,False,False,False,True
