,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1917,El triunfo de Rosas,Triunfo,https://www.todotango.com/musica/tema/3375/El-triunfo-de-Rosas/,True,True,False,False,True
2861,La tropilla,Triunfo,https://www.todotango.com/musica/tema/2003/La-tropilla/,True,False,False,False,True
