,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1125,Como la cigarra,Habanera,https://www.todotango.com/musica/tema/6260/Como-la-cigarra/,True,False,False,False,True
1303,Cuando silba el viento,Habanera,https://www.todotango.com/musica/tema/3751/Cuando-silba-el-viento/,True,False,False,False,True
2068,Es el amigo que hoy necesito,Habanera,https://www.todotango.com/musica/tema/4674/Es-el-amigo-que-hoy-necesito/,True,False,False,False,True
2834,La retrechera,Habanera,https://www.todotango.com/musica/tema/2948/La-retrechera/,True,False,False,True,True
3938,Paisaje de mi mamá,Habanera,https://www.todotango.com/musica/tema/9324/Paisaje-de-mi-mama/,True,False,False,False,True
4697,Serenata para la tierra de uno,Habanera,https://www.todotango.com/musica/tema/6261/Serenata-para-la-tierra-de-uno/,True,False,False,False,True
4724,Si te viera Garay,Habanera,https://www.todotango.com/musica/tema/4006/Si-te-viera-Garay/,True,False,True,False,True
