,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1296,Cuando me hablan del destino,Arr. en tango,https://www.todotango.com/musica/tema/9135/Cuando-me-hablan-del-destino/,True,False,False,False,True
2435,Historia de un amor,Arr. en tango,https://www.todotango.com/musica/tema/2268/Historia-de-un-amor/,True,False,True,True,True
3872,Olvídame (Risque),Arr. en tango,https://www.todotango.com/musica/tema/5407/Olvidame-Risque/,True,False,False,False,True
5273,Un giorno ti dirò (Un día te diré),Arr. en tango,https://www.todotango.com/musica/tema/2677/Un-giorno-ti-dir%c3%b2-Un-dia-te-dire/,True,False,False,False,True
5406,Venganza (Vingança),Arr. en tango,https://www.todotango.com/musica/tema/4450/Venganza-Vingan%c3%a7a/,True,False,False,True,True
