,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1834,El pescado,Milongón,https://www.todotango.com/musica/tema/3583/El-pescado/,True,True,False,False,True
5480,Viejo trombón,Milongón,https://www.todotango.com/musica/tema/3698/Viejo-trombon/,True,False,False,False,True
