,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1727,El diablo en el corazón,Shimmy,https://www.todotango.com/musica/tema/5993/El-diablo-en-el-corazon/,True,True,False,False,True
2851,La sulamita,Shimmy,https://www.todotango.com/musica/tema/3441/La-sulamita/,True,True,False,False,True
3854,"Oh, amor amor",Shimmy,https://www.todotango.com/musica/tema/4352/Oh-amor-amor/,True,True,False,False,True
4014,París [b],Shimmy,https://www.todotango.com/musica/tema/7130/Paris-[b]/,True,False,False,False,True
4332,Pum Garibaldi,Shimmy,https://www.todotango.com/musica/tema/4266/Pum-Garibaldi/,True,False,False,True,True
4363,Qué lindo es el shimmy!,Shimmy,https://www.todotango.com/musica/tema/4722/Que-lindo-es-el-shimmy/,True,False,False,False,True
4504,Reyes del aire,Shimmy,https://www.todotango.com/musica/tema/4535/Reyes-del-aire/,True,False,False,False,True
4854,Sonrisas,Shimmy,https://www.todotango.com/musica/tema/4723/Sonrisas/,True,False,False,False,True
5583,Y con él se fue mi amor,Shimmy,https://www.todotango.com/musica/tema/3267/Y-con-el-se-fue-mi-amor/,True,True,False,False,True
