,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
545,Bajo el alero [b],Canción criolla,https://www.todotango.com/musica/tema/8352/Bajo-el-alero-[b]/,True,True,False,False,True
1041,Chinita de trenzas largas,Canción criolla,https://www.todotango.com/musica/tema/5815/Chinita-de-trenzas-largas/,True,False,False,False,True
1609,Eche otra güelta,Canción criolla,https://www.todotango.com/musica/tema/2004/Eche-otra-guelta/,True,False,False,False,True
1688,El carretero,Canción criolla,https://www.todotango.com/musica/tema/1969/El-carretero/,True,True,False,True,True
1877,El rosal de los cerros,Canción criolla,https://www.todotango.com/musica/tema/1978/El-rosal-de-los-cerros/,True,True,False,True,True
2281,Gajito de cedrón,Canción criolla,https://www.todotango.com/musica/tema/1213/Gajito-de-cedron/,True,False,False,True,True
2458,Hopa hopa hopa,Canción criolla,https://www.todotango.com/musica/tema/2119/Hopa-hopa-hopa/,True,False,False,True,True
