,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1494,Desgracias de un marido,Recitado cómico,https://www.todotango.com/musica/tema/3991/Desgracias-de-un-marido/,True,False,False,False,True
1566,Doña Juana Rabanito,Recitado cómico,https://www.todotango.com/musica/tema/3989/Dona-Juana-Rabanito/,True,False,False,False,True
1654,El baile de Ña Baldomera,Recitado cómico,https://www.todotango.com/musica/tema/3995/El-baile-de-na-Baldomera/,True,False,False,False,True
2694,"La farra de Rosa ""La piojito""",Recitado cómico,https://www.todotango.com/musica/tema/3990/La-farra-de-Rosa-La-piojito/,True,False,False,False,True
2937,Las viejas solteronas,Recitado cómico,https://www.todotango.com/musica/tema/3996/Las-viejas-solteronas/,True,False,False,False,True
4457,Recetas del Dr. Macanitis,Recitado cómico,https://www.todotango.com/musica/tema/3992/Recetas-del-Dr-Macanitis/,True,False,False,False,True
5064,Testamento de un paisano,Recitado cómico,https://www.todotango.com/musica/tema/3206/Testamento-de-un-paisano/,True,False,False,False,True
