,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
1959,"Elvira Fernández, vendedora de tien",Canción,https://www.todotango.com/musica/tema/1124/Elvira-Fernandez-vendedora-de-tienda/,True,False,False,False,True
2061,Era linda mi gauchita,Canción,https://www.todotango.com/musica/tema/7242/Era-linda-mi-gauchita/,True,False,False,False,True
2063,Eran cinco amigos,Canción,https://www.todotango.com/musica/tema/5216/Eran-cinco-amigos/,True,False,False,False,True
2088,Esas no volverán,Canción,https://www.todotango.com/musica/tema/4512/Esas-no-volveran/,True,False,False,False,True
2146,Este es tu lugar,Canción,https://www.todotango.com/musica/tema/6717/Este-es-tu-lugar/,True,False,False,False,True
2147,Esther,Canción,https://www.todotango.com/musica/tema/7951/Esther/,True,False,False,False,True
2245,Fondo de abril,Canción,https://www.todotango.com/musica/tema/8328/Fondo-de-abril/,True,False,False,False,True
2252,Fraternal (Canción de Navidad y Año,Canción,https://www.todotango.com/musica/tema/1006/Fraternal-Cancion-de-Navidad-y-Ano-Nuevo/,True,False,False,False,True
2334,Graffiti,Canción,https://www.todotango.com/musica/tema/5116/Graffiti/,True,False,False,False,True
2343,Gris negro y marrón,Canción,https://www.todotango.com/musica/tema/9208/Gris-negro-y-marron/,True,False,False,False,True
2421,Hermano te nombro (Cuando canto),Canción,https://www.todotango.com/musica/tema/8921/Hermano-te-nombro-Cuando-canto/,True,False,False,False,True
2457,Honrar la vida,Canción,https://www.todotango.com/musica/tema/549/Honrar-la-vida/,True,False,True,True,True
2515,Insomnio,Canción,https://www.todotango.com/musica/tema/1040/Insomnio/,True,True,False,True,True
2544,Jazmín [b],Canción,https://www.todotango.com/musica/tema/6582/Jazmin-[b]/,True,False,False,False,True
2571,Julián de abajo,Canción,https://www.todotango.com/musica/tema/6976/Julian-de-abajo/,True,False,False,False,True
2576,Juntemos nuestras alas,Canción,https://www.todotango.com/musica/tema/4060/Juntemos-nuestras-alas/,True,False,False,False,True
2625,La canción del boyero,Canción,https://www.todotango.com/musica/tema/1016/La-cancion-del-boyero/,True,False,False,False,True
2651,La china fiera,Canción,https://www.todotango.com/musica/tema/7739/La-china-fiera/,True,True,False,False,True
2672,La culpa vos la tuviste,Canción,https://www.todotango.com/musica/tema/3539/La-culpa-vos-la-tuviste/,True,False,False,False,True
2701,La foto del escarabajo,Canción,https://www.todotango.com/musica/tema/3028/La-foto-del-escarabajo/,True,False,False,False,True
2776,La muerte del pibe,Canción,https://www.todotango.com/musica/tema/1979/La-muerte-del-pibe/,True,False,False,False,True
2783,La nave de fuego,Canción,https://www.todotango.com/musica/tema/2328/La-nave-de-fuego/,True,False,False,False,True
2796,La Parda Balcarce,Canción,https://www.todotango.com/musica/tema/1155/La-Parda-Balcarce/,True,False,False,False,True
2800,La Pasionaria,Canción,https://www.todotango.com/musica/tema/4174/La-Pasionaria/,True,False,False,False,True
2836,La rodada [b],Canción,https://www.todotango.com/musica/tema/3829/La-rodada-[b]/,True,False,False,False,True
2840,La rosa encarnada (Una rosa para mi,Canción,https://www.todotango.com/musica/tema/1967/La-rosa-encarnada-Una-rosa-para-mi-rosa/,True,False,False,False,True
2841,"La rosa, la espina y la niña",Canción,https://www.todotango.com/musica/tema/6959/La-rosa-la-espina-y-la-nina/,True,False,False,False,True
2844,La Santa,Canción,https://www.todotango.com/musica/tema/2001/La-Santa/,True,False,False,False,True
2856,La tierra rueda gira y gira,Canción,https://www.todotango.com/musica/tema/9697/La-tierra-rueda-gira-y-gira/,True,False,False,False,True
2902,Lágrimas [c],Canción,https://www.todotango.com/musica/tema/9171/Lagrimas-[c]/,True,False,False,False,True
2944,Lejana tierra mía,Canción,https://www.todotango.com/musica/tema/219/Lejana-tierra-mia/,True,False,True,True,True
2951,Levántate y canta,Canción,https://www.todotango.com/musica/tema/6352/Levantate-y-canta/,True,False,False,False,True
2998,Llueve [c],Canción,https://www.todotango.com/musica/tema/6854/Llueve-[c]/,True,False,False,False,True
3003,Lluvia de primavera,Canción,https://www.todotango.com/musica/tema/6918/Lluvia-de-primavera/,True,False,False,False,True
3033,Los afectos,Canción,https://www.todotango.com/musica/tema/3468/Los-afectos/,True,False,False,False,True
3055,Los jazmines de San Ignacio,Canción,https://www.todotango.com/musica/tema/1146/Los-jazmines-de-San-Ignacio/,True,False,False,False,True
3069,Los pájaros perdidos,Canción,https://www.todotango.com/musica/tema/2669/Los-pajaros-perdidos/,True,True,True,True,True
3071,Los pensamientos,Canción,https://www.todotango.com/musica/tema/1999/Los-pensamientos/,True,False,False,False,True
3132,Maldito rimmel,Canción,https://www.todotango.com/musica/tema/5120/Maldito-rimmel/,True,False,False,False,True
3186,Manuscro,Canción,https://www.todotango.com/musica/tema/9174/Manuscro/,True,False,False,False,True
3201,Margarita punzó,Canción,https://www.todotango.com/musica/tema/1712/Margarita-punzo/,True,False,False,False,True
3233,Marrón y plata (De agua marrón),Canción,https://www.todotango.com/musica/tema/6874/Marron-y-plata-De-agua-marron/,True,False,False,False,True
3273,Me importas vos,Canción,https://www.todotango.com/musica/tema/7949/Me-importas-vos/,True,False,False,False,True
3299,Melancolía es tu nombre,Canción,https://www.todotango.com/musica/tema/7205/Melancolia-es-tu-nombre/,True,False,False,False,True
3342,Mi árbol amigo,Canción,https://www.todotango.com/musica/tema/3229/Mi-arbol-amigo/,True,False,False,False,True
3351,Mi caballo jerezano,Canción,https://www.todotango.com/musica/tema/1975/Mi-caballo-jerezano/,True,False,False,False,True
3380,Mi María,Canción,https://www.todotango.com/musica/tema/7360/Mi-Maria/,True,False,False,False,True
3396,Mi ranchito,Canción,https://www.todotango.com/musica/tema/5204/Mi-ranchito/,True,False,False,False,True
3405,Mi sur,Canción,https://www.todotango.com/musica/tema/6876/Mi-sur/,True,False,False,False,True
3525,Mina de mi barrio,Canción,https://www.todotango.com/musica/tema/8082/Mina-de-mi-barrio/,True,False,False,False,True
3540,Mis harapos,Canción,https://www.todotango.com/musica/tema/5896/Mis-harapos/,True,True,False,False,True
3548,Misterio [b],Canción,https://www.todotango.com/musica/tema/5241/Misterio-[b]/,True,False,False,False,True
3570,Morocha triste,Canción,https://www.todotango.com/musica/tema/3234/Morocha-triste/,True,False,False,False,True
3598,"Mujer, me has ofendido",Canción,https://www.todotango.com/musica/tema/438/Mujer-me-has-ofendido/,True,True,False,False,True
3603,Muñeca azul,Canción,https://www.todotango.com/musica/tema/8362/Muneca-azul/,True,False,False,False,True
3613,Muñequita [b],Canción,https://www.todotango.com/musica/tema/6387/Munequita-[b]/,True,False,False,False,True
3668,Ni tus latidos,Canción,https://www.todotango.com/musica/tema/7965/Ni-tus-latidos/,True,False,False,False,True
3676,Nieve,Canción,https://www.todotango.com/musica/tema/2345/Nieve/,True,False,False,True,True
3704,No la quiero más,Canción,https://www.todotango.com/musica/tema/2484/No-la-quiero-mas/,True,False,True,False,True
3726,No mi amor,Canción,https://www.todotango.com/musica/tema/3846/No-mi-amor/,True,False,False,False,True
3791,Noches de pecados,Canción,https://www.todotango.com/musica/tema/3620/Noches-de-pecados/,True,False,False,False,True
3839,Nunca nunca madre,Canción,https://www.todotango.com/musica/tema/3798/Nunca-nunca-madre/,True,False,False,False,True
3926,Pablito El Grande,Canción,https://www.todotango.com/musica/tema/6828/Pablito-El-Grande/,True,False,False,False,True
3969,Pampa Luna,Canción,https://www.todotango.com/musica/tema/2829/Pampa-Luna/,True,True,False,False,True
4006,Parallele Welten,Canción,https://www.todotango.com/musica/tema/7950/Parallele-Welten/,True,False,False,False,True
4020,Pasa el amor,Canción,https://www.todotango.com/musica/tema/2752/Pasa-el-amor/,True,False,False,False,True
4026,Paseando por Florida,Canción,https://www.todotango.com/musica/tema/3580/Paseando-por-Florida/,True,False,False,False,True
4139,Pluma de nido,Canción,https://www.todotango.com/musica/tema/2830/Pluma-de-nido/,True,False,False,False,True
4199,Por el camino adelante,Canción,https://www.todotango.com/musica/tema/1962/Por-el-camino-adelante/,True,False,False,False,True
4264,Porque no te encuentro,Canción,https://www.todotango.com/musica/tema/7269/Porque-no-te-encuentro/,True,True,False,False,True
4268,Porque vas a venir,Canción,https://www.todotango.com/musica/tema/6148/Porque-vas-a-venir/,True,False,False,False,True
4269,Porteña dame tu boca,Canción,https://www.todotango.com/musica/tema/7771/Portena-dame-tu-boca/,True,True,False,False,True
4281,Postal de guerra,Canción,https://www.todotango.com/musica/tema/6264/Postal-de-guerra/,True,False,False,False,True
4297,Presagio de los dos,Canción,https://www.todotango.com/musica/tema/6855/Presagio-de-los-dos/,True,False,False,False,True
4399,Quejas,Canción,https://www.todotango.com/musica/tema/7240/Quejas/,True,False,False,False,True
4418,Quién sino tú,Canción,https://www.todotango.com/musica/tema/3847/Quien-sino-tu/,True,False,False,False,True
4432,Quijotada,Canción,https://www.todotango.com/musica/tema/4023/Quijotada/,True,False,False,False,True
4464,Recordando a mi padre,Canción,https://www.todotango.com/musica/tema/6863/Recordando-a-mi-padre/,True,False,False,False,True
4472,Recuerdos de antaño,Canción,https://www.todotango.com/musica/tema/7573/Recuerdos-de-antano/,True,True,False,False,True
4547,Rosal viejo,Canción,https://www.todotango.com/musica/tema/4508/Rosal-viejo/,True,False,False,False,True
4627,Se fue Gardel [c],Canción,https://www.todotango.com/musica/tema/4565/Se-fue-Gardel-[c]/,True,False,False,False,True
4685,Septiembre del ochenta y ocho,Canción,https://www.todotango.com/musica/tema/3305/Septiembre-del-ochenta-y-ocho/,True,False,False,False,True
4686,Ser feliz,Canción,https://www.todotango.com/musica/tema/3467/Ser-feliz/,True,False,True,False,True
4740,Siete lágrimas,Canción,https://www.todotango.com/musica/tema/1145/Siete-lagrimas/,True,False,False,False,True
4776,Sin permiso,Canción,https://www.todotango.com/musica/tema/6472/Sin-permiso/,True,False,False,False,True
4816,Soltando mis penas,Canción,https://www.todotango.com/musica/tema/8031/Soltando-mis-penas/,True,False,False,False,True
4833,Somos los ilusos,Canción,https://www.todotango.com/musica/tema/3021/Somos-los-ilusos/,True,False,False,False,True
4837,Soñando [b],Canción,https://www.todotango.com/musica/tema/2000/Sonando-[b]/,True,False,False,False,True
5071,Tiempo de madurez,Canción,https://www.todotango.com/musica/tema/6143/Tiempo-de-madurez/,True,False,False,False,True
5080,Tiento sobao,Canción,https://www.todotango.com/musica/tema/6833/Tiento-sobao/,True,False,False,False,True
5083,Tierra fértil,Canción,https://www.todotango.com/musica/tema/9698/Tierra-fertil/,True,False,False,False,True
5098,Tita de Buenos Aires,Canción,https://www.todotango.com/musica/tema/3308/Tita-de-Buenos-Aires/,True,False,False,False,True
5106,Todavía puedo,Canción,https://www.todotango.com/musica/tema/3309/Todavia-puedo/,True,False,False,False,True
5164,Tren de lejos,Canción,https://www.todotango.com/musica/tema/8722/Tren-de-lejos/,True,False,False,False,True
5178,Tristeza,Canción,https://www.todotango.com/musica/tema/7353/Tristeza/,True,False,False,False,True
5249,Un abrazo más,Canción,https://www.todotango.com/musica/tema/9257/Un-abrazo-mas/,True,False,False,False,True
5275,Un hombre al fin,Canción,https://www.todotango.com/musica/tema/6223/Un-hombre-al-fin/,True,False,False,False,True
5344,Una paloma porteña,Canción,https://www.todotango.com/musica/tema/7564/Una-paloma-portena/,True,False,False,False,True
5353,Una vida,Canción,https://www.todotango.com/musica/tema/3629/Una-vida/,True,True,False,False,True
5546,Vos tenéme cariño,Canción,https://www.todotango.com/musica/tema/6823/Vos-teneme-carino/,True,False,False,False,True
5554,Voy camino a los cincuenta,Canción,https://www.todotango.com/musica/tema/4777/Voy-camino-a-los-cincuenta/,True,False,False,False,True
