,Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Downloaded
104,A Villa Madero,Tango,https://www.todotango.com/musica/tema/9468/A-Villa-Madero/,True,False,False,False,True
105,A vos Poeta,Tango,https://www.todotango.com/musica/tema/8992/A-vos-Poeta/,True,False,False,False,True
106,A vos te arrancaron verde,Tango,https://www.todotango.com/musica/tema/7735/A-vos-te-arrancaron-verde/,True,False,False,False,True
107,A vos yo te piropeo,Tango,https://www.todotango.com/musica/tema/7354/A-vos-yo-te-piropeo/,True,False,False,False,True
108,Abandonada,Tango,https://www.todotango.com/musica/tema/1388/Abandonada/,True,False,True,True,False
109,Abandono,Tango,https://www.todotango.com/musica/tema/235/Abandono/,True,False,False,True,False
112,Abrojos,Tango,https://www.todotango.com/musica/tema/2847/Abrojos/,True,True,False,False,True
114,Abuelito,Tango,https://www.todotango.com/musica/tema/3799/Abuelito/,True,False,False,False,True
115,Acabala,Tango,https://www.todotango.com/musica/tema/4462/Acabala/,True,True,False,False,True
116,Acabala un poco,Tango,https://www.todotango.com/musica/tema/7332/Acabala-un-poco/,True,False,False,False,True
117,Acacias,Tango,https://www.todotango.com/musica/tema/7147/Acacias/,True,True,False,False,True
119,Acaso,Tango,https://www.todotango.com/musica/tema/7814/Acaso/,True,False,False,False,True
123,Acquaforte,Tango,https://www.todotango.com/musica/tema/21/Acquaforte/,True,True,False,True,False
124,Actualidad porteña,Tango,https://www.todotango.com/musica/tema/6786/Actualidad-portena/,True,False,False,False,True
125,Acuarelas del recuerdo,Tango,https://www.todotango.com/musica/tema/8470/Acuarelas-del-recuerdo/,True,False,False,False,True
126,Acuarelita del arrabal,Tango,https://www.todotango.com/musica/tema/384/Acuarelita-del-arrabal/,True,True,False,True,False
127,Acuérdate de mí,Tango,https://www.todotango.com/musica/tema/4562/Acuerdate-de-mi/,True,False,False,False,True
129,Acunando a Eladia,Tango,https://www.todotango.com/musica/tema/6712/Acunando-a-Eladia/,True,False,False,False,True
