Título,Género,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio
A mi barrio,Tango,https://www.todotango.com/musica/tema/6703/A-mi-barrio/,True,False,False,True
A mi calle,Tango,https://www.todotango.com/musica/tema/4966/A-mi-calle/,True,False,False,True
A mí dejame en mi barrio,Tango,https://www.todotango.com/musica/tema/3815/A-mi-dejame-en-mi-barrio/,True,False,False,False
A mi hijo,Tango,https://www.todotango.com/musica/tema/6097/A-mi-hijo/,True,False,False,False
A mi hijo [b],Tango,https://www.todotango.com/musica/tema/8568/A-mi-hijo-[b]/,True,False,False,False
A mi madre (Con los amigos),Canción,https://www.todotango.com/musica/tema/1972/A-mi-madre-Con-los-amigos/,True,False,False,True
A mi madre [b],Vals,https://www.todotango.com/musica/tema/4180/A-mi-madre-[b]/,True,True,False,True
A mi madre [c],Poema lunfardo,https://www.todotango.com/musica/tema/7428/A-mi-madre-[c]/,True,False,False,False
A mi madre [d],Estilo,https://www.todotango.com/musica/tema/1783/A-mi-madre-[d]/,True,False,False,False
A mí me dicen zorzal,Canción,https://www.todotango.com/musica/tema/5460/A-mi-me-dicen-zorzal/,True,False,False,False
A mí me llaman Juan Tango,Tango,https://www.todotango.com/musica/tema/2526/A-mi-me-llaman-Juan-Tango/,True,False,False,False
A mí me llaman porteño,Poema lunfardo,https://www.todotango.com/musica/tema/3588/A-mi-me-llaman-porteno/,True,False,False,False
A mi morocha,Estilo,https://www.todotango.com/musica/tema/4539/A-mi-morocha/,True,False,False,False
A mi nieto,Tango,https://www.todotango.com/musica/tema/8449/A-mi-nieto/,True,False,False,False
A mí no me den consejos,Tango,https://www.todotango.com/musica/tema/3244/A-mi-no-me-den-consejos/,True,False,False,True
A mí no me hablen de penas,Tango,https://www.todotango.com/musica/tema/3409/A-mi-no-me-hablen-de-penas/,True,False,False,False
A mí no me hablen de tango,Tango,https://www.todotango.com/musica/tema/3126/A-mi-no-me-hablen-de-tango/,True,False,False,False
A mi padre,Vals,https://www.todotango.com/musica/tema/733/A-mi-padre/,True,False,False,False
A mi país,Tango,https://www.todotango.com/musica/tema/1372/A-mi-pais/,True,False,False,False
A mi primera novia,Vals,https://www.todotango.com/musica/tema/1001/A-mi-primera-novia/,True,False,False,False
A mi teniente querido,Milonga,https://www.todotango.com/musica/tema/10226/A-mi-teniente-querido/,True,False,False,False
A mi viejo querido,Tango,https://www.todotango.com/musica/tema/3107/A-mi-viejo-querido/,True,False,False,False
A mis amigos árabes,Milonga,https://www.todotango.com/musica/tema/9694/A-mis-amigos-arabes/,True,False,False,False
A mis amigos armenios,Vals,https://www.todotango.com/musica/tema/9688/A-mis-amigos-armenios/,True,False,False,False
A mis amigos israelitas,Milonga,https://www.todotango.com/musica/tema/9695/A-mis-amigos-israelitas/,True,False,False,False
A mis manos,Milonga,https://www.todotango.com/musica/tema/1834/A-mis-manos/,True,True,False,True
A Montmartre,Tango,https://www.todotango.com/musica/tema/4640/A-Montmartre/,True,False,False,False
A mucha honra!,Poema lunfardo,https://www.todotango.com/musica/tema/2637/A-mucha-honra/,True,False,False,False
A Norberto Accoroni,Poema lunfardo,https://www.todotango.com/musica/tema/3646/A-Norberto-Accoroni/,True,False,False,False
A oscuras,Tango,https://www.todotango.com/musica/tema/4281/A-oscuras/,True,False,False,False
A Osvaldo Avena,Canción,https://www.todotango.com/musica/tema/1677/A-Osvaldo-Avena/,True,False,False,False
A Pablo Neruda,Tango,https://www.todotango.com/musica/tema/8283/A-Pablo-Neruda/,True,False,False,False
A pan y agua,Tango,https://www.todotango.com/musica/tema/324/A-pan-y-agua/,True,True,True,True
A pata suelta,Ranchera,https://www.todotango.com/musica/tema/1202/A-pata-suelta/,True,False,False,False
A pesar de todo,Tango,https://www.todotango.com/musica/tema/7626/A-pesar-de-todo/,True,True,False,False
A pesar de todo [b],Canción,https://www.todotango.com/musica/tema/6324/A-pesar-de-todo-[b]/,True,False,False,False
A pesar de…,Tango,https://www.todotango.com/musica/tema/9203/A-pesar-de/,True,False,False,False
A qué has venido,Tango,https://www.todotango.com/musica/tema/2783/A-que-has-venido/,True,False,False,True
A quién le puede importar,Tango,https://www.todotango.com/musica/tema/325/A-quien-le-puede-importar/,True,False,True,True
A Raúl Berón,Tango,https://www.todotango.com/musica/tema/7274/A-Raul-Beron/,True,False,True,False
A remolque,Tango,https://www.todotango.com/musica/tema/6669/A-remolque/,True,False,False,False
A rienda suelta,Tango,https://www.todotango.com/musica/tema/4233/A-rienda-suelta/,True,True,False,False
A río revuelto,Tango,https://www.todotango.com/musica/tema/5544/A-rio-revuelto/,True,False,False,False
A Rosalía,Milonga,https://www.todotango.com/musica/tema/3980/A-Rosalia/,True,False,False,False
A su memoria,Vals,https://www.todotango.com/musica/tema/272/A-su-memoria/,True,True,False,True
A suerte y verdad,Tango,https://www.todotango.com/musica/tema/1339/A-suerte-y-verdad/,True,False,False,False
A tango traviesa,Tango,https://www.todotango.com/musica/tema/8818/A-tango-traviesa/,True,False,False,False
A todos les cobra treinta,Milonga,https://www.todotango.com/musica/tema/3649/A-todos-les-cobra-treinta/,True,False,False,False
A tu lado María,Vals,https://www.todotango.com/musica/tema/5903/A-tu-lado-Maria/,True,True,False,False
A tu memoria madrecita,Vals,https://www.todotango.com/musica/tema/2075/A-tu-memoria-madrecita/,True,False,False,False
A tu ventana,Tango,https://www.todotango.com/musica/tema/1211/A-tu-ventana/,True,False,False,False
A un semejante,Tango,https://www.todotango.com/musica/tema/544/A-un-semejante/,True,False,False,True
A un vate rante,Tango,https://www.todotango.com/musica/tema/9087/A-un-vate-rante/,True,False,False,False
A ver si te animás,Candombe,https://www.todotango.com/musica/tema/3694/A-ver-si-te-animas/,True,False,False,False
