,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
1696,El choclo [Villoldo],Tango,Tango,https://www.todotango.com/musica/tema/595/El-choclo-[Villoldo]/,True,False,True,False,7,True
1697,El Ciclón,Tango,Tango,https://www.todotango.com/musica/tema/6565/El-Ciclon/,True,False,False,False,7,True
1698,El ciego,Tango,Tango,https://www.todotango.com/musica/tema/7904/El-ciego/,True,True,False,False,7,True
1699,El cielo en las manos,Tango,Tango,https://www.todotango.com/musica/tema/1459/El-cielo-en-las-manos/,True,False,False,False,7,True
1701,El circo se va,Tango,Tango,https://www.todotango.com/musica/tema/381/El-circo-se-va/,True,True,False,False,7,True
1702,El ciruja,Tango,Tango,https://www.todotango.com/musica/tema/601/El-ciruja/,True,True,True,True,7,True
1704,El clavel,Tango,Tango,https://www.todotango.com/musica/tema/892/El-clavel/,True,False,False,False,7,True
1705,El clavelito,Tango,Tango,https://www.todotango.com/musica/tema/2521/El-clavelito/,True,False,False,False,7,True
1706,El cocherito,Tango,Tango,https://www.todotango.com/musica/tema/2578/El-cocherito/,True,False,False,False,7,True
1707,El color de Buenos Aires,Tango,Tango,https://www.todotango.com/musica/tema/7407/El-color-de-Buenos-Aires/,True,False,False,False,7,True
1711,El corazón al sur,Tango,Tango,https://www.todotango.com/musica/tema/45/El-corazon-al-sur/,True,False,False,True,7,True
1712,El corazón de tu violín,Tango,Tango,https://www.todotango.com/musica/tema/4001/El-corazon-de-tu-violin/,True,False,False,False,7,True
1713,El cornetín del tranvía,Tango,Tango,https://www.todotango.com/musica/tema/48/El-cornetin-del-tranvia/,True,True,False,False,7,True
1715,El criollo más criollo,Tango,Tango,https://www.todotango.com/musica/tema/3544/El-criollo-mas-criollo/,True,False,False,False,7,True
1716,El cuarenta y cinco,Tango,Tango,https://www.todotango.com/musica/tema/1932/El-cuarenta-y-cinco/,True,False,False,False,7,True
1717,El cuarteador,Tango,Tango,https://www.todotango.com/musica/tema/845/El-cuarteador/,True,False,False,False,7,True
1718,El curdela,Tango,Tango,https://www.todotango.com/musica/tema/2357/El-curdela/,True,True,True,False,7,True
1719,El cuzquito,Tango,Tango,https://www.todotango.com/musica/tema/7375/El-cuzquito/,True,True,False,False,7,True
1720,El desconcierto,Tango,Tango,https://www.todotango.com/musica/tema/4632/El-desconcierto/,True,False,False,False,7,True
1722,El detalle,Tango,Tango,https://www.todotango.com/musica/tema/4172/El-detalle/,True,False,False,False,7,True
1723,El día de tu ausencia,Tango,Tango,https://www.todotango.com/musica/tema/1460/El-dia-de-tu-ausencia/,True,False,False,False,7,True
1724,El día menos pensado,Tango,Tango,https://www.todotango.com/musica/tema/9314/El-dia-menos-pensado/,True,False,False,False,7,True
1726,El día que me quieras [b],Tango,Tango,https://www.todotango.com/musica/tema/6024/El-dia-que-me-quieras-[b]/,True,True,False,False,7,True
1732,El duende,Tango,Tango,https://www.todotango.com/musica/tema/2091/El-duende/,True,False,False,False,7,True
1733,El duende del salón,Tango,Tango,https://www.todotango.com/musica/tema/7815/El-duende-del-salon/,True,False,False,False,7,True
1734,El embrujo de tu violín,Tango,Tango,https://www.todotango.com/musica/tema/812/El-embrujo-de-tu-violin/,True,True,False,True,7,True
1736,El empilchao,Tango,Tango,https://www.todotango.com/musica/tema/4087/El-empilchao/,True,True,False,False,7,True
1737,El encopao,Tango,Tango,https://www.todotango.com/musica/tema/297/El-encopao/,True,True,False,False,7,True
1738,El entrerriano [Expósito],Tango,Tango,https://www.todotango.com/musica/tema/2372/El-entrerriano-[Exposito]/,True,False,False,False,7,True
1739,El entrerriano [Planells-Amor],Tango,Tango,https://www.todotango.com/musica/tema/6926/El-entrerriano-[Planells-Amor]/,True,False,False,False,7,True
1742,El espiante [b],Tango,Tango,https://www.todotango.com/musica/tema/8158/El-espiante-[b]/,True,False,False,False,7,True
1744,El esquinazo,Tango,Tango,https://www.todotango.com/musica/tema/1280/El-esquinazo/,True,False,True,True,7,True
1745,El exilio,Tango,Tango,https://www.todotango.com/musica/tema/7071/El-exilio/,True,False,False,False,7,True
1746,El extraño caso...,Tango,Tango,https://www.todotango.com/musica/tema/3974/El-extrano-caso/,True,False,False,False,7,True
1747,El fantasma de La Boca,Tango,Tango,https://www.todotango.com/musica/tema/2250/El-fantasma-de-La-Boca/,True,True,False,False,7,True
1748,El fin de nuestro amor,Tango,Tango,https://www.todotango.com/musica/tema/6737/El-fin-de-nuestro-amor/,True,False,False,False,7,True
1749,El final de un cuento,Tango,Tango,https://www.todotango.com/musica/tema/4068/El-final-de-un-cuento/,True,False,False,False,7,True
1751,El flete,Tango,Tango,https://www.todotango.com/musica/tema/3257/El-flete/,True,False,True,True,7,True
1752,El flete [Gradito],Tango,Tango,https://www.todotango.com/musica/tema/7880/El-flete-[Gradito]/,True,False,False,False,7,True
1754,El fueye de Arolas,Tango,Tango,https://www.todotango.com/musica/tema/837/El-fueye-de-Arolas/,True,False,False,False,7,True
1755,El Garrón,Tango,Tango,https://www.todotango.com/musica/tema/3076/El-Garron/,True,True,True,True,7,True
1756,El gauchito,Tango,Tango,https://www.todotango.com/musica/tema/7171/El-gauchito/,True,True,False,False,7,True
1757,El Gigoló (Querime ñata),Tango,Tango,https://www.todotango.com/musica/tema/6075/El-Gigolo-Querime-nata/,True,False,False,False,7,True
1758,El Gordo triste,Tango,Tango,https://www.todotango.com/musica/tema/194/El-Gordo-triste/,True,True,True,True,7,True
1759,El guacho,Tango,Tango,https://www.todotango.com/musica/tema/3832/El-guacho/,True,False,False,False,7,True
1760,El hijo del diputado,Tango,Tango,https://www.todotango.com/musica/tema/6181/El-hijo-del-diputado/,True,False,False,False,7,True
1762,El hipo,Tango,Tango,https://www.todotango.com/musica/tema/1870/El-hipo/,True,False,False,False,7,True
1763,El hombre del bandoneón,Tango,Tango,https://www.todotango.com/musica/tema/6427/El-hombre-del-bandoneon/,True,False,False,False,7,True
1764,El huérfano,Tango,Tango,https://www.todotango.com/musica/tema/114/El-huerfano/,True,True,False,True,7,True
1766,El huracán,Tango,Tango,https://www.todotango.com/musica/tema/2497/El-huracan/,True,True,False,True,7,True
1767,El ídolo se fue,Tango,Tango,https://www.todotango.com/musica/tema/9679/El-idolo-se-fue/,True,True,False,False,7,True
1770,El invierno,Tango,Tango,https://www.todotango.com/musica/tema/7444/El-invierno/,True,False,False,False,7,True
1774,El juramento (Juramento inolvidable,Tango,Tango,https://www.todotango.com/musica/tema/4148/El-juramento-Juramento-inolvidable/,True,True,False,False,7,True
1776,El llamado de tu piel,Tango,Tango,https://www.todotango.com/musica/tema/9588/El-llamado-de-tu-piel/,True,False,False,False,7,True
1778,El llorón,Tango,Tango,https://www.todotango.com/musica/tema/839/El-lloron/,True,False,False,True,7,True
1780,El mal que me hiciste,Tango,Tango,https://www.todotango.com/musica/tema/7903/El-mal-que-me-hiciste/,True,True,False,False,7,True
1781,El malevo,Tango,Tango,https://www.todotango.com/musica/tema/1984/El-malevo/,True,False,False,False,7,True
1783,El mañana es siempre,Tango,Tango,https://www.todotango.com/musica/tema/5950/El-manana-es-siempre/,True,False,False,False,7,True
1785,El manisero,Tango,Tango,https://www.todotango.com/musica/tema/6550/El-manisero/,True,True,False,False,7,True
1786,El mar entre los dos,Tango,Tango,https://www.todotango.com/musica/tema/7424/El-mar-entre-los-dos/,True,False,False,False,7,True
1793,El mayordomo,Tango,Tango,https://www.todotango.com/musica/tema/3998/El-mayordomo/,True,False,False,False,7,True
1796,El miedo de vivir,Tango,Tango,https://www.todotango.com/musica/tema/4002/El-miedo-de-vivir/,True,False,False,False,7,True
1797,El milagro,Tango,Tango,https://www.todotango.com/musica/tema/139/El-milagro/,True,False,False,True,7,True
1798,El mimao,Tango,Tango,https://www.todotango.com/musica/tema/1856/El-mimao/,True,False,False,False,7,True
1801,El mismo final,Tango,Tango,https://www.todotango.com/musica/tema/2032/El-mismo-final/,True,True,False,False,7,True
1802,El mismo mal [b],Tango,Tango,https://www.todotango.com/musica/tema/3619/El-mismo-mal-[b]/,True,False,False,False,7,True
1803,El monito,Tango,Tango,https://www.todotango.com/musica/tema/350/El-monito/,True,True,False,True,7,True
1804,El Mono,Tango,Tango,https://www.todotango.com/musica/tema/8918/El-Mono/,True,False,False,False,7,True
1807,El motivo (Pobre paica),Tango,Tango,https://www.todotango.com/musica/tema/169/El-motivo-Pobre-paica/,True,False,False,True,7,True
1808,El mundo está hecho así,Tango,Tango,https://www.todotango.com/musica/tema/7185/El-mundo-esta-hecho-asi/,True,False,False,False,7,True
1809,El mundo está loco,Tango,Tango,https://www.todotango.com/musica/tema/6612/El-mundo-esta-loco/,True,True,False,False,7,True
1811,El naufragio y la canción,Tango,Tango,https://www.todotango.com/musica/tema/6199/El-naufragio-y-la-cancion/,True,False,False,False,7,True
1812,El negro alegre,Tango,Tango,https://www.todotango.com/musica/tema/2628/El-negro-alegre/,True,False,False,True,7,True
1813,El Nene del Abasto,Tango,Tango,https://www.todotango.com/musica/tema/2873/El-Nene-del-Abasto/,True,False,False,False,7,True
1814,El ocaso de la vida,Tango,Tango,https://www.todotango.com/musica/tema/6511/El-ocaso-de-la-vida/,True,False,False,False,7,True
1815,El olivo,Tango,Tango,https://www.todotango.com/musica/tema/1968/El-olivo/,True,False,False,False,7,True
1816,El once (A divertirse),Tango,Tango,https://www.todotango.com/musica/tema/352/El-once-A-divertirse/,True,True,False,True,7,True
1821,El pampeano,Tango,Tango,https://www.todotango.com/musica/tema/7940/El-pampeano/,True,True,False,False,7,True
1823,El pañuelito,Tango,Tango,https://www.todotango.com/musica/tema/1035/El-panuelito/,True,False,True,True,7,True
1825,El patio de la Morocha,Tango,Tango,https://www.todotango.com/musica/tema/85/El-patio-de-la-Morocha/,True,True,False,True,7,True
1826,El pecoso,Tango,Tango,https://www.todotango.com/musica/tema/2868/El-pecoso/,True,False,False,True,7,True
1828,El penado catorce,Tango,Tango,https://www.todotango.com/musica/tema/2368/El-penado-catorce/,True,False,False,True,7,True
1829,El pendantif,Tango,Tango,https://www.todotango.com/musica/tema/5327/El-pendantif/,True,False,False,False,7,True
1830,El pensamiento,Tango,Tango,https://www.todotango.com/musica/tema/481/El-pensamiento/,True,True,False,True,7,True
1831,El Peregrino,Tango,Tango,https://www.todotango.com/musica/tema/7570/El-Peregrino/,True,False,False,False,7,True
1832,El perfume del pan,Tango,Tango,https://www.todotango.com/musica/tema/3887/El-perfume-del-pan/,True,False,False,False,7,True
1835,El pescante,Tango,Tango,https://www.todotango.com/musica/tema/244/El-pescante/,True,True,True,False,7,True
1836,El pibe [b],Tango,Tango,https://www.todotango.com/musica/tema/4153/El-pibe-[b]/,True,True,False,True,7,True
1837,El pibe delivery,Tango,Tango,https://www.todotango.com/musica/tema/6187/El-pibe-delivery/,True,False,False,False,7,True
1838,El pibe milonguero,Tango,Tango,https://www.todotango.com/musica/tema/8153/El-pibe-milonguero/,True,False,False,False,7,True
1839,El pibe nos va a salvar,Tango,Tango,https://www.todotango.com/musica/tema/6178/El-pibe-nos-va-a-salvar/,True,False,False,True,7,True
1840,El Pibe Picaflor,Tango,Tango,https://www.todotango.com/musica/tema/6461/El-Pibe-Picaflor/,True,False,False,False,7,True
1841,El picaflor del oeste,Tango,Tango,https://www.todotango.com/musica/tema/1077/El-picaflor-del-oeste/,True,False,False,False,7,True
1843,El pinche (Pinche),Tango,Tango,https://www.todotango.com/musica/tema/4876/El-pinche-Pinche/,True,False,False,False,7,True
1845,El piropo,Tango,Tango,https://www.todotango.com/musica/tema/3355/El-piropo/,True,False,False,False,7,True
1846,El pisito de la calle Melo,Tango,Tango,https://www.todotango.com/musica/tema/978/El-pisito-de-la-calle-Melo/,True,False,False,False,7,True
1847,El plesiosauro,Tango,Tango,https://www.todotango.com/musica/tema/6341/El-plesiosauro/,True,False,False,False,7,True
1849,El Polaco,Tango,Tango,https://www.todotango.com/musica/tema/4026/El-Polaco/,True,False,False,True,7,True
1850,El Polaco [b],Tango,Tango,https://www.todotango.com/musica/tema/5957/El-Polaco-[b]/,True,False,False,False,7,True
1851,El pollero,Tango,Tango,https://www.todotango.com/musica/tema/3115/El-pollero/,True,False,False,False,7,True
1852,El poncho del amor,Tango,Tango,https://www.todotango.com/musica/tema/1191/El-poncho-del-amor/,True,True,False,True,7,True
1853,El poncho del olvido,Tango,Tango,https://www.todotango.com/musica/tema/2065/El-poncho-del-olvido/,True,False,False,False,7,True
1855,El Porteñito,Tango,Tango,https://www.todotango.com/musica/tema/819/El-Portenito/,True,True,True,True,7,True
1856,El Porteñito [Pesce],Tango,Tango,https://www.todotango.com/musica/tema/1933/El-Portenito-[Pesce]/,True,False,False,False,7,True
1857,El precio de vencer,Tango,Tango,https://www.todotango.com/musica/tema/7008/El-precio-de-vencer/,True,False,False,True,7,True
1858,El pregón,Tango,Tango,https://www.todotango.com/musica/tema/385/El-pregon/,True,False,False,False,7,True
1859,El próximo café,Tango,Tango,https://www.todotango.com/musica/tema/9253/El-proximo-cafe/,True,False,False,False,7,True
1860,El puente,Tango,Tango,https://www.todotango.com/musica/tema/2026/El-puente/,True,False,False,True,7,True
1861,El puente [b],Tango,Tango,https://www.todotango.com/musica/tema/8822/El-puente-[b]/,True,False,False,False,7,True
1862,El puerto,Tango,Tango,https://www.todotango.com/musica/tema/5998/El-puerto/,True,False,False,False,7,True
1863,El pulso de los dos,Tango,Tango,https://www.todotango.com/musica/tema/6533/El-pulso-de-los-dos/,True,False,False,False,7,True
1864,El que atrasó el reloj,Tango,Tango,https://www.todotango.com/musica/tema/779/El-que-atraso-el-reloj/,True,False,False,True,7,True
1865,El que con chicos se acuesta,Tango,Tango,https://www.todotango.com/musica/tema/6618/El-que-con-chicos-se-acuesta/,True,True,False,True,7,True
1867,El quinielero,Tango,Tango,https://www.todotango.com/musica/tema/1786/El-quinielero/,True,False,False,True,7,True
1869,El ramito,Tango,Tango,https://www.todotango.com/musica/tema/6131/El-ramito/,True,False,False,False,7,True
1870,El recodo,Tango,Tango,https://www.todotango.com/musica/tema/813/El-recodo/,True,True,False,True,7,True
1872,El retrato de mamá,Tango,Tango,https://www.todotango.com/musica/tema/5974/El-retrato-de-mama/,True,False,False,True,7,True
1873,El rey del cabaret,Tango,Tango,https://www.todotango.com/musica/tema/612/El-rey-del-cabaret/,True,True,False,True,7,True
1874,El romántico,Tango,Tango,https://www.todotango.com/musica/tema/7665/El-romantico/,True,True,False,False,7,True
1875,El romántico fulero,Tango,Tango,https://www.todotango.com/musica/tema/2678/El-romantico-fulero/,True,True,False,True,7,True
1880,El saco del Polaco,Tango,Tango,https://www.todotango.com/musica/tema/6480/El-saco-del-Polaco/,True,False,False,False,7,True
1881,El sainete del diablo,Tango,Tango,https://www.todotango.com/musica/tema/9990/El-sainete-del-diablo/,True,False,False,False,7,True
1884,El sueño del pibe,Tango,Tango,https://www.todotango.com/musica/tema/1037/El-sueno-del-pibe/,True,True,False,True,7,True
1887,El tacuarazo,Tango,Tango,https://www.todotango.com/musica/tema/5962/El-tacuarazo/,True,True,False,False,7,True
1888,El taita,Tango,Tango,https://www.todotango.com/musica/tema/1934/El-taita/,True,False,False,False,7,True
1889,El Taita del Arrabal,Tango,Tango,https://www.todotango.com/musica/tema/577/El-Taita-del-Arrabal/,True,True,False,True,7,True
1890,El taita ladrón,Tango,Tango,https://www.todotango.com/musica/tema/3440/El-taita-ladron/,True,False,False,False,7,True
1891,El tango de la muerte,Tango,Tango,https://www.todotango.com/musica/tema/4892/El-tango-de-la-muerte/,True,True,False,True,7,True
1892,El tango de la mula,Tango,Tango,https://www.todotango.com/musica/tema/1233/El-tango-de-la-mula/,True,False,False,False,7,True
1893,El tango del amor,Tango,Tango,https://www.todotango.com/musica/tema/7714/El-tango-del-amor/,True,True,False,False,7,True
1894,El tango en gira,Tango,Tango,https://www.todotango.com/musica/tema/2766/El-tango-en-gira/,True,False,False,False,7,True
1895,El tango en la piel,Tango,Tango,https://www.todotango.com/musica/tema/6984/El-tango-en-la-piel/,True,False,False,False,7,True
1896,El tango es una historia,Tango,Tango,https://www.todotango.com/musica/tema/1474/El-tango-es-una-historia/,True,False,False,False,7,True
1897,El tango no tiene contra,Tango,Tango,https://www.todotango.com/musica/tema/7736/El-tango-no-tiene-contra/,True,False,False,False,7,True
1898,El tango para siempre (A Donato Rac,Tango,Tango,https://www.todotango.com/musica/tema/3225/El-tango-para-siempre-A-Donato-Racciatti/,True,False,False,False,7,True
1899,El tango va a la escuela,Tango,Tango,https://www.todotango.com/musica/tema/8823/El-tango-va-a-la-escuela/,True,False,False,False,7,True
1900,El tango y vos,Tango,Tango,https://www.todotango.com/musica/tema/5321/El-tango-y-vos/,True,False,False,False,7,True
1901,El tango y yo,Tango,Tango,https://www.todotango.com/musica/tema/6060/El-tango-y-yo/,True,False,False,False,7,True
1902,El tango y yo [b],Tango,Tango,https://www.todotango.com/musica/tema/6702/El-tango-y-yo-[b]/,True,False,False,False,7,True
1904,El tarta,Tango,Tango,https://www.todotango.com/musica/tema/1312/El-tarta/,True,False,False,True,7,True
1905,El tatuaje,Tango,Tango,https://www.todotango.com/musica/tema/78/El-tatuaje/,True,True,False,True,7,True
1906,El teléfono,Tango,Tango,https://www.todotango.com/musica/tema/3411/El-telefono/,True,False,False,False,7,True
1908,El terrible,Tango,Tango,https://www.todotango.com/musica/tema/3993/El-terrible/,True,False,False,False,7,True
1909,El tiempo puro cuento,Tango,Tango,https://www.todotango.com/musica/tema/6014/El-tiempo-puro-cuento/,True,False,False,False,7,True
1910,El tiempo quiso,Tango,Tango,https://www.todotango.com/musica/tema/6907/El-tiempo-quiso/,True,False,False,False,7,True
1911,El Tigre Millán,Tango,Tango,https://www.todotango.com/musica/tema/816/El-Tigre-Millan/,True,False,False,True,7,True
1914,El Tordo,Tango,Tango,https://www.todotango.com/musica/tema/4132/El-Tordo/,True,False,False,False,7,True
1915,El torito,Tango,Tango,https://www.todotango.com/musica/tema/406/El-torito/,True,True,False,True,7,True
1918,El trompito,Tango,Tango,https://www.todotango.com/musica/tema/3274/El-trompito/,True,False,False,False,7,True
1919,El trompo azul,Tango,Tango,https://www.todotango.com/musica/tema/86/El-trompo-azul/,True,False,False,True,7,True
1921,El último acorde,Tango,Tango,https://www.todotango.com/musica/tema/4805/El-ultimo-acorde/,True,False,False,False,7,True
1923,El último adiós [b],Tango,Tango,https://www.todotango.com/musica/tema/8356/El-ultimo-adios-[b]/,True,False,False,False,7,True
1925,El último café,Tango,Tango,https://www.todotango.com/musica/tema/87/El-ultimo-cafe/,True,True,True,True,7,True
1926,El último cafiolo,Tango,Tango,https://www.todotango.com/musica/tema/533/El-ultimo-cafiolo/,True,False,False,False,7,True
1927,El último escalón,Tango,Tango,https://www.todotango.com/musica/tema/3554/El-ultimo-escalon/,True,True,True,True,7,True
1928,El último farol,Tango,Tango,https://www.todotango.com/musica/tema/534/El-ultimo-farol/,True,True,False,False,7,True
1929,El último guapo,Tango,Tango,https://www.todotango.com/musica/tema/626/El-ultimo-guapo/,True,False,True,True,7,True
1930,El último juglar,Tango,Tango,https://www.todotango.com/musica/tema/6089/El-ultimo-juglar/,True,False,False,False,7,True
1931,El último organito,Tango,Tango,https://www.todotango.com/musica/tema/276/El-ultimo-organito/,True,True,True,True,7,True
1932,El último romántico,Tango,Tango,https://www.todotango.com/musica/tema/5975/El-ultimo-romantico/,True,False,False,True,7,True
1933,El último round,Tango,Tango,https://www.todotango.com/musica/tema/1276/El-ultimo-round/,True,False,True,True,7,True
1936,El universo de tu alma,Tango,Tango,https://www.todotango.com/musica/tema/6248/El-universo-de-tu-alma/,True,False,False,False,7,True
1939,El verbo soledad,Tango,Tango,https://www.todotango.com/musica/tema/9267/El-verbo-soledad/,True,False,False,False,7,True
1943,El viejito Mejillón,Tango,Tango,https://www.todotango.com/musica/tema/4290/El-viejito-Mejillon/,True,False,False,False,7,True
1944,El viejo amor,Tango,Tango,https://www.todotango.com/musica/tema/3638/El-viejo-amor/,True,False,False,False,7,True
1948,El vino triste,Tango,Tango,https://www.todotango.com/musica/tema/589/El-vino-triste/,True,False,True,False,7,True
1949,El vuelo ciento dos,Tango,Tango,https://www.todotango.com/musica/tema/4588/El-vuelo-ciento-dos/,True,False,False,False,7,True
1950,El Yacaré,Tango,Tango,https://www.todotango.com/musica/tema/4367/El-Yacare/,True,False,False,False,7,True
1951,El zorzal y tú,Tango,Tango,https://www.todotango.com/musica/tema/2401/El-zorzal-y-tu/,True,False,False,False,7,True
1954,Ella espera,Tango,Tango,https://www.todotango.com/musica/tema/8159/Ella-espera/,True,False,False,False,7,True
1955,Ella no sabe,Tango,Tango,https://www.todotango.com/musica/tema/8255/Ella-no-sabe/,True,False,False,False,7,True
1961,Emblema porteño,Tango,Tango,https://www.todotango.com/musica/tema/8375/Emblema-porteno/,True,False,False,False,7,True
1962,Embriagados,Tango,Tango,https://www.todotango.com/musica/tema/7966/Embriagados/,True,False,False,False,7,True
1963,Embrujado,Tango,Tango,https://www.todotango.com/musica/tema/4143/Embrujado/,True,False,False,False,7,True
1964,Embrujado [b],Tango,Tango,https://www.todotango.com/musica/tema/4784/Embrujado-[b]/,True,False,False,False,7,True
1965,Embrujamiento,Tango,Tango,https://www.todotango.com/musica/tema/2499/Embrujamiento/,True,False,False,True,7,True
1966,Embrujo,Tango,Tango,https://www.todotango.com/musica/tema/3087/Embrujo/,True,False,False,False,7,True
1968,Embrujo de mi ciudad,Tango,Tango,https://www.todotango.com/musica/tema/1070/Embrujo-de-mi-ciudad/,True,False,False,False,7,True
1969,Emilio Ruiz (Hay que creer),Tango,Tango,https://www.todotango.com/musica/tema/7401/Emilio-Ruiz-Hay-que-creer/,True,True,False,False,7,True
1970,Empecemos otra vez,Tango,Tango,https://www.todotango.com/musica/tema/6153/Empecemos-otra-vez/,True,False,False,False,7,True
1972,Empezá a ganar,Tango,Tango,https://www.todotango.com/musica/tema/6380/Empeza-a-ganar/,True,False,False,True,7,True
1973,Empinao,Tango,Tango,https://www.todotango.com/musica/tema/6072/Empinao/,True,False,False,False,7,True
1975,En cada puerto un amor,Tango,Tango,https://www.todotango.com/musica/tema/2056/En-cada-puerto-un-amor/,True,False,False,False,7,True
1976,En carne propia,Tango,Tango,https://www.todotango.com/musica/tema/339/En-carne-propia/,True,True,True,True,7,True
1977,En debe y haber,Tango,Tango,https://www.todotango.com/musica/tema/1924/En-debe-y-haber/,True,False,False,False,7,True
1978,En el Bar de Gattone,Tango,Tango,https://www.todotango.com/musica/tema/5154/En-el-Bar-de-Gattone/,True,False,False,False,7,True
1980,En el cielo,Tango,Tango,https://www.todotango.com/musica/tema/3494/En-el-cielo/,True,True,True,False,7,True
1982,En el dos mil,Tango,Tango,https://www.todotango.com/musica/tema/2652/En-el-dos-mil/,True,False,False,False,7,True
1983,En el lago azul,Tango,Tango,https://www.todotango.com/musica/tema/3635/En-el-lago-azul/,True,False,False,True,7,True
1985,En el salón,Tango,Tango,https://www.todotango.com/musica/tema/1068/En-el-salon/,True,False,False,True,7,True
1987,En esta calle,Tango,Tango,https://www.todotango.com/musica/tema/6849/En-esta-calle/,True,False,False,False,7,True
1988,En esta esquina del otoño,Tango,Tango,https://www.todotango.com/musica/tema/3565/En-esta-esquina-del-otono/,True,False,False,False,7,True
1989,En esta tarde gris,Tango,Tango,https://www.todotango.com/musica/tema/91/En-esta-tarde-gris/,True,False,True,True,7,True
1990,En fecha vacía,Tango,Tango,https://www.todotango.com/musica/tema/7346/En-fecha-vacia/,True,False,False,False,7,True
1991,En gayola y sin bailar,Tango,Tango,https://www.todotango.com/musica/tema/9298/En-gayola-y-sin-bailar/,True,False,False,False,7,True
1994,En la buena y en la mala,Tango,Tango,https://www.todotango.com/musica/tema/4469/En-la-buena-y-en-la-mala/,True,True,False,False,7,True
1997,En la madrugada,Tango,Tango,https://www.todotango.com/musica/tema/1842/En-la-madrugada/,True,False,False,False,7,True
2000,En la milonga,Tango,Tango,https://www.todotango.com/musica/tema/4410/En-la-milonga/,True,False,False,False,7,True
2001,En la noche de tus ojos,Tango,Tango,https://www.todotango.com/musica/tema/3668/En-la-noche-de-tus-ojos/,True,False,False,False,7,True
2004,En la vía,Tango,Tango,https://www.todotango.com/musica/tema/1309/En-la-via/,True,False,False,True,7,True
2006,En las sombras,Tango,Tango,https://www.todotango.com/musica/tema/1840/En-las-sombras/,True,False,False,False,7,True
2010,En pleno Nueva York,Tango,Tango,https://www.todotango.com/musica/tema/4676/En-pleno-Nueva-York/,True,False,False,False,7,True
2011,En qué esquina te encuentro Buenos,Tango,Tango,https://www.todotango.com/musica/tema/4590/En-que-esquina-te-encuentro-Buenos-Aires/,True,False,False,False,7,True
2013,En todos los amores está tu nombre,Tango,Tango,https://www.todotango.com/musica/tema/6383/En-todos-los-amores-esta-tu-nombre/,True,False,False,False,7,True
2014,En tu barrio como en mí,Tango,Tango,https://www.todotango.com/musica/tema/6640/En-tu-barrio-como-en-mi/,True,False,False,False,7,True
2015,En tu silencio,Tango,Tango,https://www.todotango.com/musica/tema/4861/En-tu-silencio/,True,False,False,False,7,True
2016,En tus brazos,Tango,Tango,https://www.todotango.com/musica/tema/1732/En-tus-brazos/,True,False,False,False,7,True
2017,En tus brazos [b],Tango,Tango,https://www.todotango.com/musica/tema/7433/En-tus-brazos-[b]/,True,False,False,False,7,True
2018,En tus ojos de cielo,Tango,Tango,https://www.todotango.com/musica/tema/4277/En-tus-ojos-de-cielo/,True,False,False,False,7,True
2019,En un beso la vida,Tango,Tango,https://www.todotango.com/musica/tema/700/En-un-beso-la-vida/,True,False,False,True,7,True
2023,En un corralón de Barracas,Tango,Tango,https://www.todotango.com/musica/tema/8089/En-un-corralon-de-Barracas/,True,False,False,False,7,True
2024,En un feca,Tango,Tango,https://www.todotango.com/musica/tema/2240/En-un-feca/,True,False,True,True,7,True
2027,En un rincón,Tango,Tango,https://www.todotango.com/musica/tema/4053/En-un-rincon/,True,False,False,False,7,True
2028,En una calle cualquiera,Tango,Tango,https://www.todotango.com/musica/tema/7414/En-una-calle-cualquiera/,True,False,True,False,7,True
2029,En una lágrima,Tango,Tango,https://www.todotango.com/musica/tema/3881/En-una-lagrima/,True,False,False,False,7,True
2030,En una petite garçoniere de Montmar,Tango,Tango,https://www.todotango.com/musica/tema/9780/En-una-petite-gar%c3%a7oniere-de-Montmarte/,True,False,False,False,7,True
2031,En voz baja,Tango,Tango,https://www.todotango.com/musica/tema/2375/En-voz-baja/,True,False,False,False,7,True
2032,En yunta,Tango,Tango,https://www.todotango.com/musica/tema/7829/En-yunta/,True,False,False,False,7,True
2033,Enamorado estoy,Tango,Tango,https://www.todotango.com/musica/tema/1478/Enamorado-estoy/,True,True,False,True,7,True
2034,Encuentro,Tango,Tango,https://www.todotango.com/musica/tema/1226/Encuentro/,True,False,False,True,7,True
2035,Encuentro [b],Tango,Tango,https://www.todotango.com/musica/tema/7391/Encuentro-[b]/,True,False,False,False,7,True
2036,Encuentro sin agenda,Tango,Tango,https://www.todotango.com/musica/tema/5999/Encuentro-sin-agenda/,True,False,False,False,7,True
2037,Enfundá la mandolina,Tango,Tango,https://www.todotango.com/musica/tema/1039/Enfunda-la-mandolina/,True,False,False,True,7,True
2038,Engrupida,Tango,Tango,https://www.todotango.com/musica/tema/4520/Engrupida/,True,True,False,False,7,True
2040,Ensueños,Tango,Tango,https://www.todotango.com/musica/tema/2386/Ensuenos/,True,True,False,True,7,True
2041,Entrá nomás,Tango,Tango,https://www.todotango.com/musica/tema/1694/Entra-nomas/,True,False,False,False,7,True
2042,Entrá sin miedo hermana,Tango,Tango,https://www.todotango.com/musica/tema/4998/Entra-sin-miedo-hermana/,True,False,False,False,7,True
