,Título,Género,Subgénero,Enlace,Tiene Letra,Tiene Partitura,Tiene Video,Tiene Audio,Género_idx,Downloaded
1691,El Che,Otros ritmos,Guajira,https://www.todotango.com/musica/tema/6953/El-Che/,True,False,False,False,5,True
2891,La visita,Otros ritmos,Guajira,https://www.todotango.com/musica/tema/1122/La-visita/,True,False,False,False,5,True
2901,Lágrima y milagro,Milonga,Murga candombe,https://www.todotango.com/musica/tema/5110/Lagrima-y-milagro/,True,False,False,False,4,True
1917,El triunfo de Rosas,Folklore,Triunfo,https://www.todotango.com/musica/tema/3375/El-triunfo-de-Rosas/,True,True,False,False,2,True
2861,La tropilla,Folklore,Triunfo,https://www.todotango.com/musica/tema/2003/La-tropilla/,True,False,False,False,2,True
1790,El mate [b],Folklore,Chamarrita,https://www.todotango.com/musica/tema/8810/El-mate-[b]/,True,False,False,False,2,True
24,A Jorge Newbery,Folklore,Estilo,https://www.todotango.com/musica/tema/8344/A-Jorge-Newbery/,True,False,False,False,2,True
31,A la memoria de Jorge Newbery,Folklore,Estilo,https://www.todotango.com/musica/tema/7335/A-la-memoria-de-Jorge-Newbery/,True,True,False,False,2,True
58,A mi madre [d],Folklore,Estilo,https://www.todotango.com/musica/tema/1783/A-mi-madre-[d]/,True,False,False,False,2,True
62,A mi morocha,Folklore,Estilo,https://www.todotango.com/musica/tema/4539/A-mi-morocha/,True,False,False,False,2,True
264,Alma gaucha [b],Folklore,Estilo,https://www.todotango.com/musica/tema/7388/Alma-gaucha-[b]/,True,True,False,False,2,True
298,Amargura (El Floridense),Folklore,Estilo,https://www.todotango.com/musica/tema/8094/Amargura-El-Floridense/,True,False,False,False,2,True
455,"Arrimate, vida mía",Folklore,Estilo,https://www.todotango.com/musica/tema/3541/Arrimate-vida-mia/,True,False,False,False,2,True
683,Brisas camperas,Folklore,Estilo,https://www.todotango.com/musica/tema/3545/Brisas-camperas/,True,False,False,False,2,True
1039,China hereje,Folklore,Estilo,https://www.todotango.com/musica/tema/2090/China-hereje/,True,False,False,True,2,True
1608,Eche otra caña pulpero,Folklore,Estilo,https://www.todotango.com/musica/tema/4540/Eche-otra-cana-pulpero/,True,False,False,False,2,True
1671,El boyero,Folklore,Estilo,https://www.todotango.com/musica/tema/1851/El-boyero/,True,False,False,False,2,True
1686,El cardo azul,Folklore,Estilo,https://www.todotango.com/musica/tema/1873/El-cardo-azul/,True,False,False,True,2,True
1822,El pangaré,Folklore,Estilo,https://www.todotango.com/musica/tema/1959/El-pangare/,True,False,False,False,2,True
